Group,Subgroup,Year,Flag,Estimate
Age groups with 65 years and older,18-34 years,2019,N/A,1.3
Age groups with 65 years and older,18-34 years,2020,N/A,0.8
Age groups with 65 years and older,18-34 years,2021,N/A,1.3
Age groups with 65 years and older,18-34 years,2022,N/A,1
Age groups with 65 years and older,18-34 years,2023,N/A,0.8
Age groups with 65 years and older,35-49 years,2019,N/A,4.2
Age groups with 65 years and older,35-49 years,2020,N/A,4.7
Age groups with 65 years and older,35-49 years,2021,N/A,4.2
Age groups with 65 years and older,35-49 years,2022,N/A,3.6
Age groups with 65 years and older,35-49 years,2023,N/A,4.4
Age groups with 65 years and older,50-64 years,2019,N/A,11
Age groups with 65 years and older,50-64 years,2020,N/A,11
Age groups with 65 years and older,50-64 years,2021,N/A,10.7
Age groups with 65 years and older,50-64 years,2022,N/A,11.1
Age groups with 65 years and older,50-64 years,2023,N/A,11
Age groups with 65 years and older,65 years and older,2019,N/A,25.4
Age groups with 65 years and older,65 years and older,2020,N/A,25.7
Age groups with 65 years and older,65 years and older,2021,N/A,26
Age groups with 65 years and older,65 years and older,2022,N/A,25.8
Age groups with 65 years and older,65 years and older,2023,N/A,25.5
Age groups with 75 years and older,18-44 years,2019,N/A,2
Age groups with 75 years and older,18-44 years,2020,N/A,1.9
Age groups with 75 years and older,18-44 years,2021,N/A,2.2
Age groups with 75 years and older,18-44 years,2022,N/A,1.8
Age groups with 75 years and older,18-44 years,2023,N/A,2
Age groups with 75 years and older,45-64 years,2019,N/A,9.7
Age groups with 75 years and older,45-64 years,2020,N/A,9.8
Age groups with 75 years and older,45-64 years,2021,N/A,9.4
Age groups with 75 years and older,45-64 years,2022,N/A,9.4
Age groups with 75 years and older,45-64 years,2023,N/A,9.7
Age groups with 75 years and older,65-74 years,2019,N/A,21.7
Age groups with 75 years and older,65-74 years,2020,N/A,21.3
Age groups with 75 years and older,65-74 years,2021,N/A,22.7
Age groups with 75 years and older,65-74 years,2022,N/A,22
Age groups with 75 years and older,65-74 years,2023,N/A,20.6
Age groups with 75 years and older,75 years and older,2019,N/A,30.7
Age groups with 75 years and older,75 years and older,2020,N/A,32.1
Age groups with 75 years and older,75 years and older,2021,N/A,30.9
Age groups with 75 years and older,75 years and older,2022,N/A,31.3
Age groups with 75 years and older,75 years and older,2023,N/A,32.6
Disability status,With disability,2019,N/A,19.3
Disability status,With disability,2020,N/A,19.7
Disability status,With disability,2021,N/A,19.6
Disability status,With disability,2022,N/A,19.4
Disability status,With disability,2023,N/A,18
Disability status,Without disability,2019,N/A,8.5
Disability status,Without disability,2020,N/A,8.7
Disability status,Without disability,2021,N/A,8.8
Disability status,Without disability,2022,N/A,8.6
Disability status,Without disability,2023,N/A,8.8
Education,No high school diploma or GED,2019,N/A,10.1
Education,No high school diploma or GED,2020,N/A,9.8
Education,No high school diploma or GED,2021,N/A,9.5
Education,No high school diploma or GED,2022,N/A,8.1
Education,No high school diploma or GED,2023,N/A,9.2
Education,High school diploma or GED,2019,N/A,10.2
Education,High school diploma or GED,2020,N/A,11.4
Education,High school diploma or GED,2021,N/A,10.2
Education,High school diploma or GED,2022,N/A,10.2
Education,High school diploma or GED,2023,N/A,10.7
Education,Some college,2019,N/A,11.2
Education,Some college,2020,N/A,11.1
Education,Some college,2021,N/A,11.9
Education,Some college,2022,N/A,11.9
Education,Some college,2023,N/A,11.7
Education,College degree or higher,2019,N/A,10.8
Education,College degree or higher,2020,N/A,10.7
Education,College degree or higher,2021,N/A,11.3
Education,College degree or higher,2022,N/A,11.1
Education,College degree or higher,2023,N/A,11.1
Employment status,Employed,2019,N/A,5.4
Employment status,Employed,2020,N/A,5.4
Employment status,Employed,2021,N/A,5.7
Employment status,Employed,2022,N/A,5.4
Employment status,Employed,2023,N/A,5.6
Employment status,Full-time,2019,N/A,5
Employment status,Full-time,2020,N/A,5
Employment status,Full-time,2021,N/A,5.2
Employment status,Full-time,2022,N/A,4.8
Employment status,Full-time,2023,N/A,5.1
Employment status,Part-time,2019,N/A,7
Employment status,Part-time,2020,N/A,7.4
Employment status,Part-time,2021,N/A,7.7
Employment status,Part-time,2022,N/A,7.6
Employment status,Part-time,2023,N/A,7.7
Employment status,Not employed,2019,N/A,17
Employment status,Not employed,2020,N/A,16.4
Employment status,Not employed,2021,N/A,16.7
Employment status,Not employed,2022,N/A,17.2
Employment status,Not employed,2023,N/A,17.1
Employment status,Not employed but has worked previously,2019,N/A,18.2
Employment status,Not employed but has worked previously,2020,N/A,17.3
Employment status,Not employed but has worked previously,2021,N/A,17.6
Employment status,Not employed but has worked previously,2022,N/A,18.1
Employment status,Not employed but has worked previously,2023,N/A,18.1
Employment status,Not employed and has never worked,2019,N/A,4.7
Employment status,Not employed and has never worked,2020,N/A,3.8
Employment status,Not employed and has never worked,2021,N/A,4
Employment status,Not employed and has never worked,2022,N/A,3.8
