"","X","Alpha.3.code","Cancer.code","Population.code..ISO.UN.","Country","Label","Sex","Number","X95..UI.low","X95..UI.high","Number.1","ASR..World.","Crude.rate","Cumulative.risk"
"1",1,"AFG",39,4,4,"Afghanistan",0,24275,23449,25130,24275,106.2,59.6,11.2
"2",2,"ALB",39,8,8,"Albania",0,8019,7674,8380,8019,160.8,279.8,16
"3",3,"DZA",39,12,12,"Algeria",0,64713,63579,65867,64713,141.2,142.7,14.6
"4",4,"AGO",39,24,24,"Angola",0,24607,23994,25235,24607,133.5,70.3,14
"5",5,"AZE",39,31,31,"Azerbaijan",0,18503,17799,19234,18503,152.3,179.6,15.9
"6",6,"ARG",39,32,32,"Argentina",0,133420,131470,135399,133420,215.8,290,22.1
"7",7,"AUS",39,36,36,"Australia",0,212332,210430,214251,212332,462.5,814.5,41.2
"8",8,"AUT",39,40,40,"Austria",0,50682,50052,51320,50682,258.5,559,26
"9",9,"BHS",39,44,44,"Bahamas",0,955,802,1137,955,192.7,238.4,19.6
"10",10,"BHR",39,48,48,"Bahrain",0,1383,1200,1593,1383,113.8,77.5,11.9
"11",11,"BGD",39,50,50,"Bangladesh",0,167256,165051,169490,167256,105.6,99.6,11.3
"12",12,"ARM",39,51,51,"Armenia",0,9520,9009,10060,9520,201.6,320.3,21.4
"13",13,"BRB",39,52,52,"Barbados",0,1120,954,1315,1120,205.3,388.9,21.1
"14",14,"BEL",39,56,56,"Belgium",0,81132,80378,81893,81132,324.7,695.3,31.4
"15",15,"BTN",39,64,64,"Bhutan",0,638,523,779,638,87.6,81,10
"16",16,"BOL",39,68,68,"Bolivia",0,17579,16875,18312,17579,143.8,146.6,14.7
"17",17,"BIH",39,70,70,"Bosnia Herzegovina",0,14265,13852,14690,14265,218.6,439,22.9
"18",18,"BWA",39,72,72,"Botswana",0,2317,2116,2538,2317,115.4,94.9,11.8
"19",19,"BRA",39,76,76,"Brazil",0,627193,622948,631467,627193,214.4,291.2,21.5
"20",20,"BLZ",39,84,84,"Belize",0,409,313,534,409,114.7,99.2,11.6
"21",21,"SLB",39,90,90,"Solomon Islands",0,684,555,843,684,134.8,94.9,13.1
"22",22,"BRN",39,96,96,"Brunei Darussalam",0,925,805,1062,925,192.2,207.7,19.7
"23",23,"BGR",39,100,100,"Bulgaria",0,32812,32370,33260,32812,222,479.4,23.1
"24",24,"MMR",39,104,104,"Myanmar",0,77603,76115,79120,77603,135.5,140.5,13.9
"25",25,"BDI",39,108,108,"Burundi",0,7997,7549,8472,7997,128.2,63.3,13.4
"26",26,"BLR",39,112,112,"Belarus",0,46402,45877,46933,46402,273.2,491.9,28.6
"27",27,"KHM",39,116,116,"Cambodia",0,19795,19051,20568,19795,138.3,115.3,14
"28",28,"CMR",39,120,120,"Cameroon",0,19564,18820,20338,19564,126,70.1,13.1
"29",29,"CAN",39,124,124,"Canada",0,292098,290650,293553,292098,345.9,760.9,32.2
"30",30,"CPV",39,132,132,"Cape Verde",0,435,357,530,435,87,76.6,9.8
"31",31,"CAF",39,140,140,"Central African Republic",0,2690,2420,2990,2690,101.8,53.6,10.8
"32",32,"LKA",39,144,144,"Sri Lanka",0,33243,32443,34063,33243,106.9,154.1,11.4
"33",33,"TCD",39,148,148,"Chad",0,10185,9735,10655,10185,118.1,58.5,13.1
"34",34,"CHL",39,152,152,"Chile",0,59876,58569,61213,59876,188.7,311,19.1
"35",35,"CHN",39,156,160,"China",0,4824703,4816089,4833332,4824703,201.6,341.8,20.5
"36",36,"COL",39,170,170,"Colombia",0,117620,115788,119481,117620,177.6,228.3,17.9
"37",37,"COM",39,174,174,"Comoros",0,619,503,762,619,106.8,68.2,11.5
"38",38,"COG",39,178,178,"Congo, Republic of",0,2727,2503,2971,2727,80.7,47,8.9
"39",39,"COD",39,180,180,"Congo, Democratic Republic of",0,52612,51384,53870,52612,103,55.2,10.9
"40",40,"CRI",39,188,188,"Costa Rica",0,13325,12852,13815,13325,177.7,257.1,17.8
"41",41,"HRV",39,191,191,"Croatia",0,28809,28353,29272,28809,313.4,709.7,30.7
"42",42,"CUB",39,192,192,"Cuba",0,49688,48500,50905,49688,220.8,439.5,22.7
"43",43,"CYP",39,196,196,"Cyprus",0,6198,5955,6451,6198,292.3,506.6,27.5
"44",44,"CZE",39,203,203,"Czechia",0,65676,65039,66319,65676,280.9,611.7,28.3
"45",45,"BEN",39,204,204,"Benin",0,7496,7117,7896,7496,102.6,58.6,11
"46",46,"DNK",39,208,208,"Denmark",0,48840,48265,49422,48840,374.7,837,34.9
"47",47,"DOM",39,214,214,"Dominican Republic",0,20171,19420,20951,20171,167,182.4,17.2
"48",48,"ECU",39,218,218,"Ecuador",0,30888,29953,31853,30888,152.7,170.5,15
"49",49,"SLV",39,222,222,"El Salvador",0,9799,9276,10352,9799,127.1,149.6,12.5
"50",50,"GNQ",39,226,226,"Equatorial Guinea",0,926,775,1106,926,107.7,61.9,11.4
"51",51,"ETH",39,231,231,"Ethiopia",0,80334,78981,81710,80334,104.5,66.5,10.9
"52",52,"ERI",39,232,232,"Eritrea",0,2463,2212,2742,2463,99.8,67.3,10.4
"53",53,"EST",39,233,233,"Estonia",0,8050,7828,8278,8050,282.5,609,29.1
"54",54,"FJI",39,242,242,"Fiji",0,1601,1396,1836,1601,174.8,176,17.2
"55",55,"FIN",39,246,246,"Finland",0,37660,37137,38191,37660,276.9,678,27
"56",56,"FRA",39,250,250,"France (metropolitan)",0,483568,480666,486488,483568,339,737.3,32.7
"57",57,"GUF",39,254,254,"French Guyana",0,589,489,709,589,204.3,187.5,21.7
"58",58,"PYF",39,258,258,"French Polynesia",0,877,746,1030,877,228.1,308.6,23.8
"59",59,"DJI",39,262,262,"Djibouti",0,805,668,970,805,90.7,79.2,9.8
