"","X","Alpha.3.code","Cancer.code","Population.code..ISO.UN.","Country","Label","Sex","Number","X95..UI.low","X95..UI.high","Number.1","ASR..World.","Crude.rate","Cumulative.risk"
"1",1,"AFG",39,4,4,"Afghanistan",0,16923,16238,17637,16923,78.7,41.5,8.7
"2",2,"ALB",39,8,8,"Albania",0,4955,4710,5213,4955,90.5,172.9,10.4
"3",3,"DZA",39,12,12,"Algeria",0,35778,34774,36811,35778,77.7,78.9,8.2
"4",4,"AGO",39,24,24,"Angola",0,15541,15058,16040,15541,90,44.4,9.7
"5",5,"AZE",39,31,31,"Azerbaijan",0,11314,10764,11892,11314,93.2,109.8,10.2
"6",6,"ARG",39,32,32,"Argentina",0,70251,69096,71425,70251,102.7,152.7,11
"7",7,"AUS",39,36,36,"Australia",0,51884,50945,52840,51884,84.6,199,8.4
"8",8,"AUT",39,40,40,"Austria",0,22381,22019,22749,22381,91.3,246.9,9.9
"9",9,"BHS",39,44,44,"Bahamas",0,552,456,668,552,109.2,137.8,11.4
"10",10,"BHR",39,48,48,"Bahrain",0,607,498,740,607,58.6,34,5.6
"11",11,"BGD",39,50,50,"Bangladesh",0,116598,114747,118478,116598,74.7,69.5,8.2
"12",12,"ARM",39,51,51,"Armenia",0,5861,5552,6187,5861,116.7,197.2,12.9
"13",13,"BRB",39,52,52,"Barbados",0,738,622,875,738,113.3,256.2,12
"14",14,"BEL",39,56,56,"Belgium",0,29005,28582,29434,29005,92.4,248.6,9.7
"15",15,"BTN",39,64,64,"Bhutan",0,480,374,616,480,67.2,60.9,8
"16",16,"BOL",39,68,68,"Bolivia",0,11015,10440,11622,11015,85.1,91.9,8.8
"17",17,"BIH",39,70,70,"Bosnia Herzegovina",0,8590,8362,8824,8590,116.1,264.4,13
"18",18,"BWA",39,72,72,"Botswana",0,1277,1097,1486,1277,66.1,52.3,7.1
"19",19,"BRA",39,76,76,"Brazil",0,278835,276596,281092,278835,91.3,129.5,9.5
"20",20,"BLZ",39,84,84,"Belize",0,211,156,286,211,59.9,51.2,6.1
"21",21,"SLB",39,90,90,"Solomon Islands",0,365,275,484,365,74.6,50.6,7.5
"22",22,"BRN",39,96,96,"Brunei Darussalam",0,464,382,564,464,104.6,104.2,10.9
"23",23,"BGR",39,100,100,"Bulgaria",0,18794,18461,19133,18794,114.2,274.6,12.6
"24",24,"MMR",39,104,104,"Myanmar",0,54841,53596,56115,54841,97.1,99.3,10.4
"25",25,"BDI",39,108,108,"Burundi",0,5760,5361,6188,5760,98.7,45.6,10.6
"26",26,"BLR",39,112,112,"Belarus",0,22644,22280,23014,22644,123.5,240.1,14.3
"27",27,"KHM",39,116,116,"Cambodia",0,13799,13181,14446,13799,99.3,80.4,10.3
"28",28,"CMR",39,120,120,"Cameroon",0,12798,12195,13430,12798,87.3,45.9,9.4
"29",29,"CAN",39,124,124,"Canada",0,100465,99698,101238,100465,96.4,261.7,8.8
