"","region","Incidence_rate","Mortality_rate","avg_phy_rate_categorical_5","avg_dom_spend_categorical_6","avg_gdp_categorical_4","Operational_Policy"
"1","Afghanistan",59.6,41.5,"0-1","0-5","10-15",NA
"2","Albania",279.8,172.9,"2-3","5-10",NA,"Yes"
"3","Algeria",142.7,78.9,"1-2","10-15","5-10","Yes"
"4","Andorra",NA,NA,"3-4","15-20","5-10","Yes"
"5","Angola",70.3,44.4,"0-1","5-10","0-5","No"
"6","Antigua and Barbuda",NA,NA,"2-3","10-15","5-10","No"
"7","Argentina",290,152.7,"3-4","15-20","5-10","Yes"
"8","Armenia",320.3,197.2,"3-4","5-10","10-15","Yes"
"9","Australia",814.5,199,"3-4","15-20","10-15","Yes"
"10","Austria",559,246.9,"4+","15-20","10-15","Yes"
"11","Azerbaijan",179.6,109.8,"3-4","0-5","0-5","Yes"
"12","Bahamas",238.4,137.8,"1-2","15-20","5-10","Yes"
"13","Bahrain",77.5,34,"0-1","5-10","0-5","Yes"
"14","Bangladesh",99.6,69.5,"0-1","0-5","0-5","Yes"
"15","Barbados",388.9,256.2,"2-3","10-15","5-10","Yes"
"16","Belarus",491.9,240.1,"4+","10-15","5-10","Yes"
"17","Belgium",695.3,248.6,"4+","15-20","10-15","Yes"
"18","Belize",99.2,51.2,"1-2","10-15","5-10","Yes"
"19","Benin",58.6,39.7,"0-1","0-5","0-5","Yes"
"20","Bhutan",81,60.9,"0-1","5-10","0-5","Yes"
"21","Bolivia",146.6,91.9,"1-2","10-15","5-10","No"
"22","Bosnia and Herzegovina",439,264.4,"2-3","15-20","5-10","Yes"
"23","Botswana",94.9,52.3,"0-1","10-15","5-10","Yes"
"24","Brazil",291.2,129.5,"2-3","10-15","5-10","Yes"
"25","Brunei",207.7,104.2,"1-2","5-10","0-5","Yes"
"26","Bulgaria",479.4,274.6,"4+","10-15","5-10","Yes"
"27","Burkina Faso",65.8,49.8,"0-1","5-10","5-10","Yes"
"28","Burundi",63.3,45.6,"0-1","5-10","5-10","Yes"
"29","Cabo Verde",NA,NA,"0-1","10-15","5-10","No"
"30","Cambodia",115.3,80.4,"0-1","5-10","5-10","Yes"
"31","Cameroon",70.1,45.9,"0-1","0-5","0-5","Yes"
"32","Canada",760.9,261.7,"2-3","15-20","10-15","Yes"
"33","Central African Republic",53.6,40.3,"0-1","0-5","5-10","Yes"
"34","Chad",58.5,41.7,"0-1","0-5","0-5","Yes"
"35","Chile",311,163.3,"2-3","15-20","5-10","Yes"
"36","China",341.8,182.3,"2-3","5-10","5-10","Yes"
"37","Colombia",228.3,110.1,"2-3","15-20","5-10","Yes"
"38","Comoros",68.2,46.1,"0-1","0-5","5-10","No"
"39","Cook Islands",NA,NA,"1-2","5-10","0-5","Yes"
"40","Costa Rica",257.1,117.2,"2-3","25+","5-10","Yes"
"41","Croatia",709.7,341.3,"3-4","10-15","5-10","Yes"
"42","Cuba",439.5,245.2,"4+","15-20","10-15","Yes"
"43","Cyprus",506.6,231.9,"4+","5-10","5-10","Yes"
"44","Czechia",611.7,261.5,"4+","15-20","5-10","Yes"
"45","Côte d'Ivoire",77,51,"0-1","5-10","0-5","Yes"
"46","Democratic Republic of the Congo",55.2,39.5,"0-1","0-5","0-5","Yes"
"47","Denmark",837,294.8,"4+","15-20","10-15","Yes"
"48","Djibouti",79.2,56.3,NA,"0-5","0-5","No"
"49","Dominica",NA,NA,"1-2","5-10","5-10","No"
"50","Dominican Republic",182.4,106.2,"1-2","10-15","0-5","Yes"
"51","Ecuador",170.5,89.2,"2-3","10-15","5-10","Yes"
"52","Egypt",141.9,89.8,"0-1","0-5","0-5","Yes"
"53","El Salvador",149.6,80.8,"2-3","15-20","5-10","Yes"
"54","Equatorial Guinea",61.9,39.4,"0-1","0-5","0-5","Yes"
"55","Eritrea",67.3,47.1,"0-1","0-5","0-5","Yes"
"56","Estonia",609,309.1,"3-4","10-15","5-10","Yes"
"57","Eswatini",93.5,58.8,"0-1","5-10","5-10","Yes"
"58","Ethiopia",66.5,45.3,"0-1","5-10","0-5","Yes"
"59","Fiji",176,95.1,"0-1","5-10","0-5","Yes"
"60","Finland",678,242,"3-4","10-15","5-10","Yes"
"61","France",737.3,290.6,"3-4","15-20","10-15","Yes"
"62","Gabon",80.4,46.9,"0-1","5-10","0-5","No"
"63","Gambia",46.8,35.1,"0-1","5-10","0-5","No"
"64","Georgia",344.9,213.1,"4+","5-10","5-10","No"
"65","Germany",722.2,301.8,"4+","15-20","10-15","Yes"
"66","Ghana",84.5,55.4,"0-1","5-10","0-5","No"
"67","Greece",636.9,313.9,"4+","5-10","5-10","Yes"
"68","Grenada",NA,NA,"1-2","5-10","0-5","No"
"69","Guatemala",95.8,55.8,"1-2","15-20","5-10","Yes"
"70","Guinea",63.3,45.9,"0-1","0-5","0-5","Yes"
"71","Guinea-Bissau",56.7,41.2,"0-1","0-5","5-10","No"
"72","Guyana",154.3,77.1,"1-2","10-15","0-5","No"
"73","Haiti",118.7,77.2,"0-1","0-5","0-5","No"
"74","Honduras",105.8,68.6,"0-1","10-15","5-10","No"
"75","Hungary",690.6,338.1,"3-4","5-10","5-10","No"
"76","Iceland",514.5,193.7,"3-4","15-20","5-10","Yes"
"77","India",100.5,65.2,"0-1","0-5","0-5","Yes"
"78","Indonesia",146.4,87.1,"0-1","5-10","0-5","No"
"79","Iran",159.5,101.4,"1-2","20-25","5-10","Yes"
"80","Iraq",88.7,51.1,"0-1","5-10","0-5","Yes"
"81","Ireland",622.3,207.9,"3-4","15-20","5-10","Yes"
"82","Israel",341.1,144.1,"3-4","10-15","5-10","Yes"
"83","Italy",723.9,321.4,"4+","10-15","5-10","Yes"
"84","Jamaica",251.3,155.2,"0-1","10-15","5-10","No"
"85","Japan",800.4,339.4,"2-3","20-25","10-15","Yes"
"86","Jordan",119.7,62.7,"2-3","10-15","5-10","Yes"
"87","Kazakhstan",188.6,107.7,"3-4","5-10","0-5","Yes"
"88","Kenya",79.6,52.2,"0-1","5-10","0-5","Yes"
"89","Kiribati",NA,NA,NA,"5-10","10-15","Yes"
"90","Kuwait",99.2,44.9,"2-3","5-10","5-10","Yes"
"91","Kyrgyzstan",108,69.4,"2-3","5-10","5-10","Yes"
"92","Laos",121.7,83.1,"0-1","0-5","0-5","Yes"
"93","Latvia",619.7,317.6,"3-4","5-10","5-10","No"
"94","Lebanon",195,109.3,"2-3","10-15","5-10","Yes"
"95","Lesotho",93.2,64.9,"0-1","10-15","10-15",NA
"96","Liberia",73,51.5,"0-1","0-5","5-10","Yes"
"97","Libya",116.1,75.5,"2-3",NA,NA,"No"
"98","Lithuania",616.6,313.7,"4+","10-15","5-10","Yes"
"99","Luxembourg",535.5,170.2,"2-3","10-15","5-10","Yes"
"100","Madagascar",73,48.9,"0-1","10-15","0-5","Yes"
"101","Malawi",98.3,69.3,"0-1","5-10","5-10","Yes"
"102","Malaysia",155.7,95.3,"1-2","5-10","0-5","Yes"
"103","Maldives",88.5,44.6,"2-3","15-20","5-10","Yes"
"104","Mali",70.6,49.7,"0-1","5-10","0-5","Yes"
"105","Malta",643,233.3,"4+","15-20","5-10","Yes"
