"","region","continent","Incidence_rate","Mortality_rate","avg_phy_rate","avg_pct_domestic_spending","avg_pct_gdp","Operational_Policy"
"1","Afghanistan","Asia",59.6,41.5,0.275,2.475,13.65,NA
"2","Albania","Europe",279.8,172.9,2.05,9.375,NA,"Yes"
"3","Algeria","Africa",142.7,78.9,1.7,10.7,6.45,"Yes"
"4","Andorra","Europe",NA,NA,3.6,15.225,7.725,"Yes"
"5","Angola","Africa",70.3,44.4,0.2,5.2,2.7,"No"
"6","Antigua and Barbuda","North America",NA,NA,2.9,12.2,5.025,"No"
"7","Argentina","South America",290,152.7,3.95,15.9,9.8,"Yes"
"8","Armenia","Asia",320.3,197.2,3.75,6.15,10.925,"Yes"
"9","Australia","Oceania",814.5,199,3.8,17.85,10.275,"Yes"
"10","Austria","Europe",559,246.9,5.33333333333333,15.525,10.675,"Yes"
"11","Azerbaijan","Asia",179.6,109.8,3.2,3.5,4.1,"Yes"
"12","Bahamas","North America",238.4,137.8,1.9,15.1,6.15,"Yes"
"13","Bahrain","Asia",77.5,34,0.85,7.35,4.3,"Yes"
"14","Bangladesh","Asia",99.6,69.5,0.6,3.4,2.65,"Yes"
"15","Barbados","North America",388.9,256.2,2.6,10.2,6.7,"Yes"
"16","Belarus","Europe",491.9,240.1,4.63333333333333,10.5,5.975,"Yes"
"17","Belgium","Europe",695.3,248.6,4.65,15.425,10.85,"Yes"
"18","Belize","North America",99.2,51.2,1.1,12.075,6.175,"Yes"
"19","Benin","Africa",58.6,39.7,0.1,3.625,2.525,"Yes"
"20","Bhutan","Asia",81,60.9,0.45,9.375,3.75,"Yes"
"21","Bolivia","South America",146.6,91.9,1.3,12.775,7,"No"
"22","Bosnia and Herzegovina","Europe",439,264.4,2.1,15.1,9.275,"Yes"
"23","Botswana","Africa",94.9,52.3,0.3,11.475,6.1,"Yes"
"24","Brazil","South America",291.2,129.5,2.1,10.4,9.575,"Yes"
"25","Brunei","Asia",207.7,104.2,1.85,6.55,2.35,"Yes"
"26","Bulgaria","Europe",479.4,274.6,4.1,11.325,7.575,"Yes"
"27","Burkina Faso","Africa",65.8,49.8,0.1,9.275,5.55,"Yes"
"28","Burundi","Africa",63.3,45.6,0.0666666666666667,8.825,6.675,"Yes"
"29","Cabo Verde","Africa",NA,NA,0.75,10.325,5.275,"No"
"30","Cambodia","Asia",115.3,80.4,0.2,7.05,6.675,"Yes"
"31","Cameroon","Africa",70.1,45.9,0.1,2.425,3.675,"Yes"
"32","Canada","North America",760.9,261.7,2.45,18.675,11.35,"Yes"
"33","Central African Republic","Africa",53.6,40.3,0.1,4.2,8.3,"Yes"
"34","Chad","Africa",58.5,41.7,0.05,4.975,4.75,"Yes"
"35","Chile","South America",311,163.3,2.6,17.775,9.15,"Yes"
"36","China","Asia",341.8,182.3,2.06666666666667,8.85,5.275,"Yes"
"37","Colombia","South America",228.3,110.1,2.2,17.475,8.05,"Yes"
"38","Comoros","Africa",68.2,46.1,0.3,3.65,5,"No"
"39","Cook Islands","Oceania",NA,NA,1.3,6.7,2.925,"Yes"
"40","Costa Rica","North America",257.1,117.2,2.75,26.65,7.5,"Yes"
"41","Croatia","Europe",709.7,341.3,3.3,11.875,7,"Yes"
"42","Cuba","North America",439.5,245.2,8.1,16.25,11.85,"Yes"
"43","Cyprus","Asia",506.6,231.9,4,9.475,7.15,"Yes"
"44","Czechia","Europe",611.7,261.5,4.85,15.625,7.875,"Yes"
"45","Côte d'Ivoire","Africa",77,51,0.2,5.25,3.225,"Yes"
"46","Democratic Republic of the Congo","Africa",55.2,39.5,0.4,4.75,3.725,"Yes"
"47","Denmark","Europe",837,294.8,4.1,16.625,10.25,"Yes"
"48","Djibouti","Africa",79.2,56.3,NA,4.25,2.35,"No"
"49","Dominica","North America",NA,NA,1.1,7.225,5.5,"No"
"50","Dominican Republic","North America",182.4,106.2,1.4,14.975,4.475,"Yes"
"51","Ecuador","South America",170.5,89.2,2.15,12.8,7.925,"Yes"
"52","Egypt","Africa",141.9,89.8,0.733333333333333,4.95,4.875,"Yes"
"53","El Salvador","North America",149.6,80.8,2.9,17.375,8.875,"Yes"
"54","Equatorial Guinea","Africa",61.9,39.4,0.4,3.4,3.2,"Yes"
"55","Eritrea","Africa",67.3,47.1,0.1,2.4,4.3,"Yes"
"56","Estonia","Europe",609,309.1,3.65,12.725,6.975,"Yes"
"57","Eswatini","Africa",93.5,58.8,0.1,9.65,6.875,"Yes"
"58","Ethiopia","Africa",66.5,45.3,0.1,5.5,3.45,"Yes"
"59","Fiji","Oceania",176,95.1,0.8,7.675,3.6,"Yes"
"60","Finland","Europe",678,242,3.85,13.55,9.35,"Yes"
"61","France","Europe",737.3,290.6,3.25,15.05,11.475,"Yes"
"62","Gabon","Africa",80.4,46.9,0.6,8.9,2.9,"No"
"63","Gambia","Africa",46.8,35.1,0.1,5.3,3.075,"No"
"64","Georgia","Asia",344.9,213.1,5.35,9.35,7.2,"No"
"65","Germany","Europe",722.2,301.8,4.36666666666667,19.85,11.8,"Yes"
"66","Ghana","Africa",84.5,55.4,0.133333333333333,7.1,3.825,"No"
"67","Greece","Europe",636.9,313.9,6.13333333333333,8.575,8.5,"Yes"
"68","Grenada","North America",NA,NA,1.3,8.475,4.975,"No"
"69","Guatemala","North America",95.8,55.8,1.3,17.1,6.2,"Yes"
"70","Guinea","Africa",63.3,45.9,0.15,4.525,4.4,"Yes"
"71","Guinea-Bissau","Africa",56.7,41.2,0.2,2.725,8.125,"No"
"72","Guyana","South America",154.3,77.1,1.4,11.2,4.825,"No"
"73","Haiti","North America",118.7,77.2,0.15,4.65,4.225,"No"
"74","Honduras","North America",105.8,68.6,0.4,11.425,7.75,"No"
"75","Hungary","Europe",690.6,338.1,3.16666666666667,9.65,6.775,"No"
"76","Iceland","Europe",514.5,193.7,3.85,15.675,8.65,"Yes"
"77","India","Asia",100.5,65.2,0.7,3.4,3.1,"Yes"
"78","Indonesia","Asia",146.4,87.1,0.5,8.45,3.025,"No"
"79","Iran","Asia",159.5,101.4,1.3,22.15,6.5,"Yes"
"80","Iraq","Asia",88.7,51.1,0.9,5.05,4.15,"Yes"
"81","Ireland","Europe",622.3,207.9,3.56666666666667,19.825,7,"Yes"
"82","Israel","Asia",341.1,144.1,3.6,12.175,7.55,"Yes"
"83","Italy","Europe",723.9,321.4,4,13.1,8.975,"Yes"
"84","Jamaica","North America",251.3,155.2,0.5,13.275,6.075,"No"
