Country,Incidence_Number,Incidence_rate,Incidence_cum_risk_74,Mortality_Number,Mortality_rate,Mortality_cum_risk_74,Year
Afghanistan,24275,59.6,11.2,16923,41.5,8.7,2022
Albania,8019,279.8,16,4955,172.9,10.4,2022
Algeria,64713,142.7,14.6,35778,78.9,8.2,2022
Angola,24607,70.3,14,15541,44.4,9.7,2022
Azerbaijan,18503,179.6,15.9,11314,109.8,10.2,2022
Argentina,133420,290,22.1,70251,152.7,11,2022
Australia,212332,814.5,41.2,51884,199,8.4,2022
Austria,50682,559,26,22381,246.9,9.9,2022
Bahamas,955,238.4,19.6,552,137.8,11.4,2022
Bahrain,1383,77.5,11.9,607,34,5.6,2022
Bangladesh,167256,99.6,11.3,116598,69.5,8.2,2022
Armenia,9520,320.3,21.4,5861,197.2,12.9,2022
Barbados,1120,388.9,21.1,738,256.2,12,2022
Belgium,81132,695.3,31.4,29005,248.6,9.7,2022
Bhutan,638,81,10,480,60.9,8,2022
Bolivia,17579,146.6,14.7,11015,91.9,8.8,2022
Bosnia and Herzegovina,14265,439,22.9,8590,264.4,13,2022
Botswana,2317,94.9,11.8,1277,52.3,7.1,2022
Brazil,627193,291.2,21.5,278835,129.5,9.5,2022
Belize,409,99.2,11.6,211,51.2,6.1,2022
Solomon Islands,684,94.9,13.1,365,50.6,7.5,2022
Brunei,925,207.7,19.7,464,104.2,10.9,2022
Bulgaria,32812,479.4,23.1,18794,274.6,12.6,2022
Myanmar,77603,140.5,13.9,54841,99.3,10.4,2022
Burundi,7997,63.3,13.4,5760,45.6,10.6,2022
Belarus,46402,491.9,28.6,22644,240.1,14.3,2022
Cambodia,19795,115.3,14,13799,80.4,10.3,2022
Cameroon,19564,70.1,13.1,12798,45.9,9.4,2022
Canada,292098,760.9,32.2,100465,261.7,8.8,2022
Cape Verde,435,76.6,9.8,285,50.2,6.4,2022
Central African Republic,2690,53.6,10.8,2023,40.3,8.7,2022
Sri Lanka,33243,154.1,11.4,19145,88.7,6.6,2022
Chad,10185,58.5,13.1,7257,41.7,9.7,2022
Chile,59876,311,19.1,31440,163.3,9.3,2022
China,4824703,341.8,20.5,2574176,182.3,10.3,2022
Colombia,117620,228.3,17.9,56719,110.1,8.3,2022
Comoros,619,68.2,11.5,418,46.1,8.4,2022
Republic of Congo,2727,47,8.9,1732,29.9,5.7,2022
Democratic Republic of the Congo,52612,55.2,10.9,37575,39.5,8.1,2022
Costa Rica,13325,257.1,17.8,6072,117.2,7.5,2022
Croatia,28809,709.7,30.7,13854,341.3,13.6,2022
Cuba,49688,439.5,22.7,27724,245.2,11.7,2022
Cyprus,6198,506.6,27.5,2837,231.9,11.5,2022
Czechia,65676,611.7,28.3,28071,261.5,11.4,2022
