"","Population.Code","Region.Country.Area","Year","Series","Value","Footnotes","Source"
"1",4,"Afghanistan",2005,"Current health expenditure (% of GDP)",9.9,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"2",4,"Afghanistan",2010,"Current health expenditure (% of GDP)",8.6,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"3",4,"Afghanistan",2015,"Current health expenditure (% of GDP)",10.1,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"4",4,"Afghanistan",2018,"Current health expenditure (% of GDP)",14.2,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"5",4,"Afghanistan",2019,"Current health expenditure (% of GDP)",14.8,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"6",4,"Afghanistan",2020,"Current health expenditure (% of GDP)",15.5,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"7",4,"Afghanistan",2005,"Domestic general government health expenditure (% of total government expenditure)",3.4,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"8",4,"Afghanistan",2010,"Domestic general government health expenditure (% of total government expenditure)",2.3,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"9",4,"Afghanistan",2015,"Domestic general government health expenditure (% of total government expenditure)",2,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"10",4,"Afghanistan",2018,"Domestic general government health expenditure (% of total government expenditure)",1.9,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"11",4,"Afghanistan",2019,"Domestic general government health expenditure (% of total government expenditure)",1.8,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"12",4,"Afghanistan",2020,"Domestic general government health expenditure (% of total government expenditure)",4.2,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
