"","Population.Code","Region.Country.Area","Year","Series","Value","Footnotes","Source"
"1",4,"Afghanistan",2001,"Health personnel: Physicians (number)","4,104",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"2",4,"Afghanistan",2001,"Health personnel: Physicians (per 1000 population)","0.2",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"3",4,"Afghanistan",2001,"Health personnel: Pharmacists (number)","525",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"4",4,"Afghanistan",2001,"Health personnel: Pharmacists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"5",4,"Afghanistan",2005,"Health personnel: Pharmacists (number)","900",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"6",4,"Afghanistan",2005,"Health personnel: Pharmacists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"7",4,"Afghanistan",2005,"Health personnel: Nurses and midwives (number)","14,930",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"8",4,"Afghanistan",2005,"Health personnel: Nurses and midwives personnel (per 1000 population)","0.6",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"9",4,"Afghanistan",2008,"Health personnel: Physicians (number)","4,834",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"10",4,"Afghanistan",2008,"Health personnel: Physicians (per 1000 population)","0.2",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"11",4,"Afghanistan",2008,"Health personnel: Dentists (number)","382",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"12",4,"Afghanistan",2008,"Health personnel: Dentists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"13",4,"Afghanistan",2008,"Health personnel: Pharmacists (number)","829",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"14",4,"Afghanistan",2008,"Health personnel: Pharmacists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"15",4,"Afghanistan",2008,"Health personnel: Nurses and midwives (number)","13,780",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"16",4,"Afghanistan",2008,"Health personnel: Nurses and midwives personnel (per 1000 population)","0.5",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"17",4,"Afghanistan",2009,"Health personnel: Physicians (number)","6,037",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"18",4,"Afghanistan",2009,"Health personnel: Physicians (per 1000 population)","0.2",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"19",4,"Afghanistan",2009,"Health personnel: Pharmacists (number)","847",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"20",4,"Afghanistan",2009,"Health personnel: Pharmacists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"21",4,"Afghanistan",2009,"Health personnel: Nurses and midwives (number)","17,257",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"22",4,"Afghanistan",2009,"Health personnel: Nurses and midwives personnel (per 1000 population)","0.6",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"23",4,"Afghanistan",2010,"Health personnel: Physicians (number)","6,901",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"24",4,"Afghanistan",2010,"Health personnel: Physicians (per 1000 population)","0.2",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"25",4,"Afghanistan",2010,"Health personnel: Pharmacists (number)","814",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"26",4,"Afghanistan",2010,"Health personnel: Pharmacists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"27",4,"Afghanistan",2015,"Health personnel: Physicians (number)","9,808",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"28",4,"Afghanistan",2015,"Health personnel: Physicians (per 1000 population)","0.3",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"29",4,"Afghanistan",2015,"Health personnel: Dentists (number)","123",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"30",4,"Afghanistan",2015,"Health personnel: Dentists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"31",4,"Afghanistan",2015,"Health personnel: Pharmacists (number)","1,712",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"32",4,"Afghanistan",2015,"Health personnel: Pharmacists (per 1000 population)","0.1",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"33",4,"Afghanistan",2015,"Health personnel: Nurses and midwives (number)","4,471",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"34",4,"Afghanistan",2015,"Health personnel: Nurses and midwives personnel (per 1000 population)","0.1",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"35",4,"Afghanistan",2018,"Health personnel: Physicians (number)","11,144",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"36",4,"Afghanistan",2018,"Health personnel: Physicians (per 1000 population)","0.3",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"37",4,"Afghanistan",2018,"Health personnel: Dentists (number)","880",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"38",4,"Afghanistan",2018,"Health personnel: Dentists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"39",4,"Afghanistan",2018,"Health personnel: Pharmacists (number)","1,073",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"40",4,"Afghanistan",2018,"Health personnel: Pharmacists (per 1000 population)","0.0",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"41",4,"Afghanistan",2018,"Health personnel: Nurses and midwives (number)","16,581",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"42",4,"Afghanistan",2018,"Health personnel: Nurses and midwives personnel (per 1000 population)","0.5",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"43",4,"Afghanistan",2019,"Health personnel: Physicians (number)","8,082",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"44",4,"Afghanistan",2019,"Health personnel: Physicians (per 1000 population)","0.2",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"45",4,"Afghanistan",2019,"Health personnel: Dentists (number)","2,697",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"46",4,"Afghanistan",2019,"Health personnel: Dentists (per 1000 population)","0.1",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"47",4,"Afghanistan",2020,"Health personnel: Physicians (number)","9,880",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"48",4,"Afghanistan",2020,"Health personnel: Physicians (per 1000 population)","0.3",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"49",8,"Albania",2003,"Health personnel: Physicians (number)","3,699",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"50",8,"Albania",2003,"Health personnel: Physicians (per 1000 population)","1.2",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
"51",8,"Albania",2003,"Health personnel: Dentists (number)","1,350",NA,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2023."
